iter,mmd2,mmd_sigma,mean_l2,num_samples,dist_action_kl,dist_action_tv,action_samples,rho_mean,rho2_mean,rho_min,rho_max,rho_p95,rho_p99,rho_clip,rho_clip_active
5,0.005639030993258909,2.358056986198397,0.2439852756754834,4096,0.8782691901621624,0.5474716767725073,64,1.0062735180360591,3.041418723962545,7.561827977123767e-16,5.44214379978152,4.339219873975138,5.232217976009557,10.0,1.0
9,0.009230224943790444,2.3534002990717133,0.3248853381755186,4096,0.8782691901621626,0.5143517013749952,64,0.9762281169613869,2.8222694733022986,2.23210253055491e-16,5.443874897541158,4.218105482668241,5.100988940397384,10.0,1.0
10,0.0043484717356483404,2.3648447454949544,0.18110126515378575,4096,0.8782691901621629,0.5198024238472387,64,1.0030846596626866,3.01783601929132,2.40452881994069e-19,5.438844088303374,4.370483545137542,5.229158745740797,10.0,1.0
15,0.005991336400972491,2.381929087277501,0.26977805275092936,4096,0.8782691901621626,0.512375087923524,64,1.0265120612171392,3.1216373529067463,2.2095778763236475e-16,5.425197948829371,4.4156886477743456,5.230865909160758,10.0,1.0
19,0.006791970123013469,2.358936698069443,0.25527337701719044,4096,0.8782691901621624,0.5384940171192236,64,1.002242428540249,3.0155026353279375,3.746336544106427e-15,5.442511310449152,4.4051089343849945,5.183361630841563,10.0,1.0
20,0.006619983356845438,2.3533585258465286,0.2555760759456132,4096,0.8782691901621626,0.5055417093240349,64,0.974409787954009,2.904736374533136,4.029171409950996e-15,5.443524651458913,4.342413088548682,5.123511086806661,10.0,1.0
25,0.006257538939843377,2.3658580078445026,0.2441285058845406,4096,0.8782691901621626,0.8280419771688821,64,0.9675212087758531,2.854106790718437,4.776194292562572e-18,5.443385429210039,4.219900142151681,5.194582219775689,10.0,1.0
29,0.010953135910324985,2.3456547096825333,0.31638950515465464,4096,0.8782691901621624,0.5076478324495521,64,0.995128109962624,2.9793259178902707,1.7990345384485462e-17,5.442668441484476,4.349435363069773,5.190360134688741,10.0,1.0
30,0.005346705975023958,2.362340107601223,0.1980936654759311,4096,0.8782691901621626,0.5746472582201894,64,0.9750422291676925,2.8571109683298337,6.422720262613385e-17,5.441904465378982,4.211635928100141,5.167226683307708,10.0,1.0
35,0.007308633428012357,2.352773686387967,0.2699288010507471,4096,0.8782691901621626,0.5117263283098777,64,0.983582889290312,2.946419236985838,5.287889059871091e-16,5.433848593746876,4.3353830030653056,5.205145568325087,10.0,1.0
39,0.0074111120453598245,2.352049154557672,0.27482599302410604,4096,0.8782691901621626,0.504437206908027,64,1.0604068331566974,3.245947407906234,3.9914592471974914e-19,5.440631559741331,4.3875989311171395,5.226198518648655,10.0,1.0
40,0.008842565423896498,2.363867868837003,0.32418938118400104,4096,0.8782691901621626,0.5003435723338624,64,0.9605521463897855,2.8134396411572724,1.1754481329412562e-17,5.437144199241044,4.227180462532271,5.16964425687297,10.0,1.0
45,0.010841068089880501,2.368040038780433,0.3660036667317107,4096,0.8782691901621626,0.5221464987819406,64,1.008314396212864,3.0741791412840316,2.8158783499450914e-16,5.434639139999317,4.383240120637549,5.205250292655282,10.0,1.0
