iter,stability_proxy,stability_proxy_mean,stability_proxy_std,power_iters,batch_size,stability_probe_step_scale,rho_mean,rho2_mean,rho_min,rho_max,rho_p95,rho_p99,rho_clip,rho_clip_active
5,0.9999981679945399,0.9999981679945399,3.0978672571757503e-07,20,4096,6.25e-06,0.879826083866642,2.072115192888457,0.3402852915245381,10.0,2.4310537529280727,7.086839469944881,10.0,1.0
9,0.9999980667198806,0.9999980667198806,1.732334030133257e-07,20,4096,6.25e-06,0.8784594891153739,2.0599733436876058,0.34029223712165985,10.0,2.438459387037355,6.993132255483283,10.0,1.0
10,0.9999981133484441,0.9999981133484441,1.8344732342584073e-07,20,4096,6.25e-06,0.8798491879668452,2.0675575601378258,0.34027920893643465,10.0,2.414638010454518,6.96645875957775,10.0,1.0
15,0.9999979945332149,0.9999979945332149,1.5892327703572637e-07,20,4096,6.25e-06,0.8843300404460743,2.066420364704788,0.3402892621182441,10.0,2.484642847694395,6.875222015385538,10.0,1.0
19,0.9999981073139943,0.9999981073139943,3.0050062516932603e-07,20,4096,6.25e-06,0.8886014877468983,2.1031382591173156,0.34027909952367097,10.0,2.5291882137569015,7.001423357193458,10.0,1.0
20,0.9999980782992268,0.9999980782992268,2.81066491034727e-07,20,4096,6.25e-06,0.8879476972612907,2.096171733146397,0.34028181787654577,10.0,2.4679205678537803,7.102783423542538,10.0,1.0
25,0.9999980410540572,0.9999980410540572,4.262740745007256e-07,20,4096,6.25e-06,0.8889497777444348,2.1523721744966324,0.3402995253168582,10.0,2.4986283805482996,7.449711050738564,10.0,1.0
29,0.9999980063733936,0.9999980063733936,2.71054598177803e-07,20,4096,6.25e-06,0.8842546549948128,2.0816258668630967,0.34028598009503724,10.0,2.44464614348821,7.037271703603863,10.0,1.0
30,0.9999979560253622,0.9999979560253622,6.254602383062893e-07,20,4096,6.25e-06,0.8896681973818044,2.11151996510538,0.3402792856135626,10.0,2.4808530650023672,7.128798871880814,10.0,1.0
35,0.9999977928914037,0.9999977928914037,4.37987551627384e-07,20,4096,6.25e-06,0.888946863498988,2.1334577082120223,0.34028137225707006,10.0,2.5173290612423482,7.118749001237757,10.0,1.0
39,0.9999981132162086,0.9999981132162086,2.401726539704747e-07,20,4096,6.25e-06,0.8823322697743528,2.097337659230685,0.3402781988327973,10.0,2.470673294529674,7.178917723753846,10.0,1.0
40,0.9999979393091561,0.9999979393091561,2.728047607392042e-07,20,4096,6.25e-06,0.8941584131505388,2.1476376068833956,0.3402867867930911,10.0,2.5032942860259797,7.218240590265532,10.0,1.0
45,0.9999979224892739,0.9999979224892739,4.6939733762792504e-07,20,4096,6.25e-06,0.8870303241613795,2.121143793508814,0.34029342839198057,10.0,2.4753981243371426,7.290478908019964,10.0,1.0
49,0.9999979626762372,0.9999979626762372,2.4050116781758247e-07,20,4096,6.25e-06,0.8819279642942391,2.1086864698194088,0.3402789356165752,10.0,2.4338683590727386,7.2250141370974,10.0,1.0
50,0.9999978172300774,0.9999978172300774,3.143523890793995e-07,20,4096,6.25e-06,0.886268473858075,2.100676882284066,0.3402797096880376,10.0,2.4717165088892314,7.042974156764022,10.0,1.0
55,0.9999978127792986,0.9999978127792986,6.36817967567694e-07,20,4096,6.25e-06,0.8848209019688169,2.0849911006821475,0.3402779935159796,10.0,2.488372669697541,7.026904609472696,10.0,1.0
59,0.9999979119282969,0.9999979119282969,5.483535331745206e-07,20,4096,6.25e-06,0.8950870386743537,2.1836078196779103,0.3402886686928351,10.0,2.4941378672448815,7.357604629211957,10.0,1.0
60,0.99999798664315,0.99999798664315,2.6916582126080933e-07,20,4096,6.25e-06,0.8780779250333428,2.04044444340685,0.3402790197272679,10.0,2.449673090894666,6.922450696626943,10.0,1.0
65,0.9999980318618459,0.9999980318618459,2.417664811535799e-07,20,4096,6.25e-06,0.8846882982273315,2.0492866643375267,0.3402797737178205,10.0,2.4142970038404443,6.84976145071133,10.0,1.0
69,0.999998074913772,0.999998074913772,3.726611337525596e-07,20,4096,6.25e-06,0.8852843633207605,2.0821585305916157,0.34029520290932447,10.0,2.4289803984025475,7.126404535860181,10.0,1.0
70,0.9999981314618294,0.9999981314618294,2.2887164798382917e-07,20,4096,6.25e-06,0.8865805791197128,2.118712672177377,0.3402784615816561,10.0,2.4747173446591373,7.262496803776353,10.0,1.0
75,0.9999979661114745,0.9999979661114745,3.0012637244795814e-07,20,4096,6.25e-06,0.8833152068768894,2.0969257634775547,0.34028917672009146,10.0,2.40336015774683,7.047806805626546,10.0,1.0
79,0.999998036312284,0.999998036312284,6.94115373687314e-07,20,4096,6.25e-06,0.8732473161103473,1.9875938143014231,0.3402793843545952,10.0,2.3861468604203235,6.561300452668284,10.0,1.0
80,0.9999982619833414,0.9999982619833414,2.1683679982331977e-07,20,4096,6.25e-06,0.887638640033497,2.106187129179893,0.34027792883279134,10.0,2.4991152547245474,7.029218983985963,10.0,1.0
85,0.9999976646295551,0.9999976646295551,8.049177771840012e-07,20,4096,6.25e-06,0.8924220197637386,2.153258765930973,0.34028546972117796,10.0,2.4759877991926307,7.3465616835305045,10.0,1.0
89,0.9999977704836922,0.9999977704836922,6.090082628035119e-07,20,4096,6.25e-06,0.8814239922786057,2.0831148050170474,0.3402864729131007,10.0,2.4117365823616077,7.022097389390586,10.0,1.0
90,0.9999978475603716,0.9999978475603716,5.037503125748166e-07,20,4096,6.25e-06,0.8856366906469308,2.1357373024476987,0.3402824144735418,10.0,2.457940373498081,7.420123808057268,10.0,1.0
95,0.99999815788235,0.99999815788235,2.5203023982969734e-07,20,4096,6.25e-06,0.8785228901519716,2.014739968166102,0.3402787388405429,10.0,2.458745075096855,6.603894626330673,10.0,1.0
99,0.9999979078758524,0.9999979078758524,4.140815793506888e-07,20,4096,6.25e-06,0.8786619037453454,2.040013884562388,0.34028383793575145,10.0,2.421669811990535,6.960101665432152,10.0,1.0
100,0.9999981420250563,0.9999981420250563,1.1934651895623904e-07,20,4096,6.25e-06,0.8795218452631058,2.054598249028456,0.34027898852262295,10.0,2.4355725147049867,7.01509054067184,10.0,1.0
105,0.9999981119282411,0.9999981119282411,2.1427579571793528e-07,20,4096,6.25e-06,0.8885789856497038,2.142850765768701,0.3402812932332328,10.0,2.5002498828551802,7.369469903905486,10.0,1.0
109,0.999997941759957,0.999997941759957,4.6176381848162913e-07,20,4096,6.25e-06,0.8831002710755591,2.0617576526798436,0.3402790321661519,10.0,2.4520342430631135,6.950704902822463,10.0,1.0
110,0.9999977618725312,0.9999977618725312,4.7519974179455617e-07,20,4096,6.25e-06,0.8915078237268397,2.166099232490402,0.3402809741239565,10.0,2.468306484808147,7.4543831385066515,10.0,1.0
115,0.9999979601523062,0.9999979601523062,3.3609193139368827e-07,20,4096,6.25e-06,0.8723106784005331,1.9971575328647113,0.3402820399278285,10.0,2.4252164075194056,6.635132104350845,10.0,1.0
