iter,stability_proxy,stability_proxy_mean,stability_proxy_std,power_iters,batch_size,stability_probe_step_scale,rho_mean,rho2_mean,rho_min,rho_max,rho_p95,rho_p99,rho_clip,rho_clip_active
5,0.9999978886609364,0.9999978886609364,4.313965533000601e-07,20,4096,6.25e-06,1.0062245130312266,3.0400517603948938,2.71185438136366e-24,5.443634655836507,4.3981272877406825,5.220253451999436,10.0,1.0
9,0.9999976649205815,0.9999976649205815,3.8391968121851266e-07,20,4096,6.25e-06,1.0179007684554873,3.058485542773326,5.684930776675867e-26,5.44288614817203,4.34783682044086,5.219070155712262,10.0,1.0
10,0.9999976069831029,0.9999976069831029,3.133530747537599e-07,20,4096,6.25e-06,0.9953090666268891,2.967179938701671,1.3699745180634526e-23,5.444290185760515,4.313325858071867,5.192035513392274,10.0,1.0
15,0.9999975574195246,0.9999975574195246,3.0275679014256856e-07,20,4096,6.25e-06,0.9862658386001488,2.9386205353334436,8.910364283716981e-19,5.443206807033535,4.30448454928296,5.196408834168221,10.0,1.0
19,0.9999978193668324,0.9999978193668324,2.796710860937316e-07,20,4096,6.25e-06,0.9984266031493966,2.9916300078647406,1.3527771552110989e-20,5.444301962589,4.313691675683855,5.197886564292896,10.0,1.0
20,0.999997772327619,0.999997772327619,4.4492972863777327e-07,20,4096,6.25e-06,0.9893470080710812,2.9578256272752914,9.20245975969126e-19,5.444009050497069,4.320730847626093,5.212160378539337,10.0,1.0
25,0.9999977656771595,0.9999977656771595,5.182246419771626e-07,20,4096,6.25e-06,1.0018892389265086,3.0061586646617213,4.795737806896697e-23,5.4421006496153925,4.354769648659821,5.198282565810648,10.0,1.0
29,0.9999977369390389,0.9999977369390389,8.232992753709082e-08,20,4096,6.25e-06,0.99207851729405,2.9640588420408758,5.665034119357417e-20,5.443560312149049,4.301673665062031,5.207953535220533,10.0,1.0
30,0.9999976806818212,0.9999976806818212,8.225593406379298e-07,20,4096,6.25e-06,0.9827483763951146,2.9205380474826965,4.701343758349916e-20,5.444281922193587,4.285016544952999,5.178316304400883,10.0,1.0
35,0.99999779165268,0.99999779165268,4.781898273193193e-07,20,4096,6.25e-06,1.0147075123619111,3.0576822054966755,2.122091471191255e-19,5.44405702807027,4.375516461809575,5.222672070198078,10.0,1.0
39,0.9999976552473182,0.9999976552473182,4.0898207002509546e-07,20,4096,6.25e-06,1.0064350118348717,3.0101802055265185,3.277212116362387e-21,5.4443990782641745,4.343532453036467,5.225523231643799,10.0,1.0
40,0.9999976565113995,0.9999976565113995,4.7079573373422207e-07,20,4096,6.25e-06,0.9979494081364315,2.995055735298444,1.1271360717070068e-19,5.44347346234156,4.334829469724697,5.218705337171602,10.0,1.0
45,0.9999975356731896,0.9999975356731896,6.542307966958875e-07,20,4096,6.25e-06,0.9983269305777478,2.9920799896234787,1.0155157102668118e-26,5.442757629769026,4.335765460737248,5.194765120014783,10.0,1.0
