iter,mmd2,mmd_sigma,mean_l2,num_samples,dist_action_kl,dist_action_tv,action_samples,rho_mean,rho2_mean,rho_min,rho_max,rho_p95,rho_p99,rho_clip,rho_clip_active
5,0.005639030993156324,2.3580569861968286,0.2439852756730617,4096,0.8782691901621624,0.5474716767721077,64,1.0062735180362714,3.0414187239646573,7.561827976827607e-16,5.4421437997789575,4.3392198739546295,5.232217975979423,10.0,1.0
9,0.009230224943905907,2.35340029909081,0.32488533817917914,4096,0.8782691901621626,0.514351701374834,64,0.9762281169608691,2.82226947329763,2.232102531644939e-16,5.443874897541422,4.218105482719686,5.10098894035066,10.0,1.0
10,0.004348471735738713,2.364844745491589,0.18110126515726674,4096,0.8782691901621629,0.519802423846752,64,1.0030846596615803,3.0178360192812126,2.4045288192522753e-19,5.438844088311059,4.370483545139133,5.229158745865702,10.0,1.0
15,0.00599133640088545,2.3819290872811454,0.26977805274640676,4096,0.8782691901621626,0.5123750879233813,64,1.0265120612190735,3.121637352917592,2.209577874598846e-16,5.425197948801131,4.415688647827055,5.230865909216017,10.0,1.0
19,0.0067919701224740114,2.3589366981325726,0.25527337699367336,4096,0.8782691901621624,0.5384940171187576,64,1.002242428541228,3.0155026353332057,3.746336542747884e-15,5.442511310427516,4.405108934338797,5.18336163081433,10.0,1.0
20,0.006619983357014969,2.3533585258284426,0.25557607595016923,4096,0.8782691901621626,0.5055417093237919,64,0.9744097879552858,2.9047363745404464,4.029171408944029e-15,5.4435246514677615,4.342413088448312,5.123511086792017,10.0,1.0
25,0.006257538940025564,2.3658580077986127,0.2441285058838857,4096,0.8782691901621626,0.8280419771066917,64,0.9675212087733538,2.854106790699989,4.776194300361204e-18,5.443385429226219,4.219900142549038,5.1945822199191145,10.0,1.0
29,0.010953135909276934,2.3456547097116496,0.31638950512604036,4096,0.8782691901621624,0.5076478324490815,64,0.9951281099564262,2.979325917854396,1.7990345404533283e-17,5.442668441452595,4.34943536342398,5.190360134868715,10.0,1.0
30,0.005346705975141419,2.362340107607234,0.19809366547168972,4096,0.8782691901621626,0.5746472582223934,64,0.9750422291675163,2.857110968328697,6.422720267913068e-17,5.4419044653994835,4.211635927865428,5.167226683626539,10.0,1.0
35,0.0073086334266181385,2.3527736863763122,0.2699288010131758,4096,0.8782691901621626,0.511726328309844,64,0.9835828892930513,2.9464192370094677,5.287889055519532e-16,5.433848593695599,4.335383002883279,5.205145568336315,10.0,1.0
39,0.007411112044066082,2.352049154752656,0.274825992990124,4096,0.8782691901621626,0.5044372069081081,64,1.0604068331577035,3.245947407919381,3.9914592391329207e-19,5.440631559725977,4.3875989312956705,5.226198519012399,10.0,1.0
40,0.008842565421519843,2.3638678688893857,0.32418938112511875,4096,0.8782691901621626,0.5003435723340022,64,0.9605521463888117,2.813439641155589,1.1754481337711254e-17,5.43714419928101,4.227180462627959,5.169644256880582,10.0,1.0
45,0.010841068093340067,2.3680400387890197,0.36600366679854585,4096,0.8782691901621626,0.5221464987791635,64,1.0083143962156937,3.074179141279542,2.8158783480970106e-16,5.434639139961763,4.383240120479735,5.205250292975386,10.0,1.0
49,0.010334574307373168,2.365255159131676,0.3643874953029211,4096,0.8782691901621626,0.5372121916276472,64,0.9418693194157675,2.7581917134663927,5.268345116689851e-16,5.4337552037018755,4.190302066545568,5.183687238695925,10.0,1.0
50,0.007471569091694108,2.3582671092608014,0.2787129792897348,4096,0.8782691901621626,0.72502087983407,64,1.0053176916461533,2.981843789016117,2.8827486880854387e-14,5.439836634127908,4.287195499533928,5.231053415702871,10.0,1.0
55,0.004198905366938788,2.3517241386869854,0.1775893913012174,4096,0.8782691901621626,0.5061034881987547,64,0.9989829652088145,2.9483941372865194,3.085549093416021e-19,5.439588870603012,4.254958510887049,5.2133739707011815,10.0,1.0
59,0.006561498699113266,2.3562475780023053,0.25152923093135715,4096,0.8782691901621625,0.5232264952091543,64,0.9758904866004269,2.8500782309971013,7.52347052561046e-17,5.434906871601548,4.155783626813806,5.144985974760327,10.0,1.0
60,0.009854673162902228,2.35910163906335,0.3366842974083392,4096,0.8782691901621626,0.5315981503609775,64,0.9840543568029534,2.9250048198369045,3.496149404434188e-17,5.441097782941948,4.300688214551439,5.139255506873869,10.0,1.0
